MSG_ID	DESCRIPTION
1303,Stop is not part of distribution.  Add stop to distribution?
1304,Lock all products for this stop?
1305,Stop not found in distribution table
1306,Unlock all products for this stop?
1307,Are you sure you want to zero-out all quantities?
1308,Total locked quantity is greater than inventory
1309,Lock all products for all stops?
1310,Unlock all products for all stops?
1700,No corresponding Load Check data available
1801,There are no orders to modify
1802,Standing orders not allowed
1803,Save order changes?
1804,Route-level adjustments are not available
1805,Invalid Stop/Arlo #
1806,Invalid UPC or Item Number
1807,Product can not be ordered at the route level.
1808,All Master Order records for the date you selected are past cut-off.  Please select another date.
1809,There are no orders to modify. Use Find/Add to populate list.
2000,Select the modem
2001,Select the phone number
2002,Select the dial type
2003,Config file does not exist
2004,XML file does not exist
2005,All changes will be lost.  Are you sure?
2200,Suspended Claim
2203,Print finalized Claim document?
2205,Cannot open Claims document for <date> since future documents already exist
2214,There is a suspended Claim that must be finalized before another date can be selected
2400,There are no suspended tickets for this route
2600,Cannot void any tickets since the truck inventory has been finalized
2601,No tickets can be voided for the selected date
2610,Are you sure you want to void the selected ticket?
2700,Data Warehouse information is not available for this stop
2701,Data Warehouse information is not available for this stop/product
2702,Data Warehouse information is not available for this product
3021,Lockbox ID must be 2 letters
3022,Name cannot be blank
3023,Address cannot be blank
3024,City Name cannot be blank
3025,State cannot be blank
3026,Zip Code cannot be blank
3310,No tickets found for the selected store delivery date
3320,Do you want to reprint this ticket?
3321,Selection does not appear in the list
3800,There are no orders to print
3900,Print order changes only?
5303,There are no stops with products on promotion
5304,Print Order Report?
5401,Order adjustments are not allowed for this route
5402,Order restrictions in place for this route - use Modify Order function to make order adjustments
5403,This product is past cutoff and cannot be ordered today
5404,Warning - the quantity entered is greater than 99
5405,Change temporary order only?
5406,Record does not exist
5409,No store delivery date selected
5410,Product not authorized for this stop
5500,Are you sure you wish to reboot the Device?
5501,No download occurred during the last communication.
5502,If this was your normal end-of-day communication, contact the Help Desk.
